name,proddate,idno,cntry,trstlgl,trstplc,trstplt,trstsci,lrscale,gincdif,imwbcnt,ccrdprs
ESS10e03_3,2122025,13510,FI,3,7,5,7,2,2.5,5,6
ESS10e03_3,2122025,13530,FI,9,9,7,9,5,7.5,4,9
ESS10e03_3,2122025,13531,FI,5,7,4,10,,7.5,6,0
ESS10e03_3,2122025,13548,FI,0,10,5,7,2,7.5,5,1
ESS10e03_3,2122025,13575,FI,8,10,3,8,8,10.0,3,6
ESS10e03_3,2122025,13582,FI,10,10,8,10,8,0.0,8,9
ESS10e03_3,2122025,13590,FI,8,10,1,8,4,10.0,7,3
ESS10e03_3,2122025,13628,FI,8,6,4,8,1,7.5,9,9
ESS10e03_3,2122025,13629,FI,8,7,3,10,3,0.0,3,9
ESS10e03_3,2122025,13637,FI,10,8,7,9,8,7.5,5,9
ESS10e03_3,2122025,13660,FI,4,7,3,6,5,10.0,3,6
ESS10e03_3,2122025,13663,FI,5,8,3,8,6,2.5,8,6
ESS10e03_3,2122025,13665,FI,8,8,6,9,5,7.5,5,6
ESS10e03_3,2122025,13675,FI,10,9,6,7,7,2.5,4,7
ESS10e03_3,2122025,13688,FI,8,9,2,8,8,7.5,5,5
ESS10e03_3,2122025,13691,FI,9,9,5,8,6,7.5,5,6
ESS10e03_3,2122025,13694,FI,9,9,7,9,8,2.5,3,7
ESS10e03_3,2122025,13726,FI,10,9,7,8,7,5.0,5,8
ESS10e03_3,2122025,13749,FI,7,9,7,8,5,7.5,7,10
ESS10e03_3,2122025,13795,FI,9,9,8,10,7,7.5,7,7
ESS10e03_3,2122025,13802,FI,9,8,8,8,8,5.0,8,8
ESS10e03_3,2122025,13804,FI,6,9,7,7,6,7.5,5,8
ESS10e03_3,2122025,13862,FI,10,10,8,9,3,10.0,9,10
ESS10e03_3,2122025,13870,FI,10,10,8,9,8,5.0,9,9
ESS10e03_3,2122025,13876,FI,8,10,3,8,7,7.5,3,10
ESS10e03_3,2122025,13882,FI,9,9,7,,,2.5,7,
ESS10e03_3,2122025,13883,FI,8,9,6,9,10,5.0,2,8
ESS10e03_3,2122025,13884,FI,3,4,1,5,1,7.5,5,10
ESS10e03_3,2122025,13885,FI,9,9,6,8,8,5.0,6,8
ESS10e03_3,2122025,13889,FI,9,9,6,9,2,7.5,7,9
ESS10e03_3,2122025,13892,FI,9,8,8,9,0,10.0,6,9
ESS10e03_3,2122025,13902,FI,10,10,7,9,5,7.5,10,8
ESS10e03_3,2122025,13939,FI,9,9,6,8,8,5.0,5,7
ESS10e03_3,2122025,13950,FI,7,8,4,10,6,10.0,4,10
ESS10e03_3,2122025,13956,FI,10,10,9,9,5,7.5,9,0
ESS10e03_3,2122025,13967,FI,9,7,5,8,7,10.0,5,7
ESS10e03_3,2122025,13970,FI,7,7,6,8,2,7.5,6,3
ESS10e03_3,2122025,13979,FI,6,7,5,7,5,5.0,7,8
ESS10e03_3,2122025,13994,FI,9,9,4,7,8,2.5,8,9
ESS10e03_3,2122025,14006,FI,8,8,7,9,4,7.5,8,9
ESS10e03_3,2122025,14014,FI,5,5,4,6,6,7.5,3,7
ESS10e03_3,2122025,14025,FI,9,10,8,9,5,5.0,5,5
ESS10e03_3,2122025,14033,FI,9,7,6,7,2,7.5,8,6
ESS10e03_3,2122025,14083,FI,7,8,3,7,10,7.5,5,3
ESS10e03_3,2122025,14084,FI,7,8,7,8,5,10.0,7,8
ESS10e03_3,2122025,14090,FI,2,8,2,3,8,10.0,6,9
ESS10e03_3,2122025,14096,FI,3,4,5,8,7,2.5,5,5
ESS10e03_3,2122025,14102,FI,8,8,6,9,5,5.0,6,3
ESS10e03_3,2122025,14115,FI,8,9,4,9,8,5.0,7,9
ESS10e03_3,2122025,14123,FI,8,10,5,8,5,5.0,5,2
ESS10e03_3,2122025,14132,FI,9,8,7,9,7,7.5,7,2
ESS10e03_3,2122025,14147,FI,6,7,5,7,,10.0,8,7
ESS10e03_3,2122025,14154,FI,9,9,8,8,5,5.0,5,7
ESS10e03_3,2122025,14166,FI,4,10,8,10,3,10.0,6,3
ESS10e03_3,2122025,14169,FI,8,10,6,7,8,7.5,6,5
ESS10e03_3,2122025,14175,FI,10,4,7,9,3,7.5,9,8
ESS10e03_3,2122025,14195,FI,8,9,6,8,6,7.5,2,8
ESS10e03_3,2122025,14197,FI,9,9,4,8,4,10.0,5,6
ESS10e03_3,2122025,14230,FI,9,9,7,8,6,10.0,8,8
ESS10e03_3,2122025,14233,FI,8,8,7,8,5,7.5,6,7
ESS10e03_3,2122025,14239,FI,6,9,4,8,5,,5,10
ESS10e03_3,2122025,14284,FI,9,9,8,9,3,5.0,5,10
ESS10e03_3,2122025,14293,FI,6,9,2,8,6,2.5,5,2
ESS10e03_3,2122025,14305,FI,4,6,4,6,5,5.0,3,8
ESS10e03_3,2122025,14310,FI,8,8,7,,8,,6,7
ESS10e03_3,2122025,14327,FI,9,8,8,9,2,7.5,7,7
ESS10e03_3,2122025,14347,FI,7,8,7,9,5,10.0,7,8
ESS10e03_3,2122025,14369,FI,8,9,7,7,8,5.0,8,8
ESS10e03_3,2122025,14377,FI,7,7,3,5,5,7.5,3,5
