name,proddate,idno,cntry,trstlgl,trstplc,trstplt,trstsci,lrscale,gincdif,imwbcnt,ccrdprs
ESS10e03_3,2122025,11671,IT,4,4,1,7,7,5.0,3,3
ESS10e03_3,2122025,11699,IT,5,6,4,6,,7.5,5,6
ESS10e03_3,2122025,11703,IT,0,8,0,4,5,7.5,0,8
ESS10e03_3,2122025,11707,IT,4,5,5,6,4,5.0,2,7
ESS10e03_3,2122025,11715,IT,5,10,2,7,,7.5,3,4
ESS10e03_3,2122025,11718,IT,2,5,2,6,,5.0,7,10
ESS10e03_3,2122025,11724,IT,5,8,5,7,,10.0,6,5
ESS10e03_3,2122025,11729,IT,7,8,6,8,7,7.5,3,3
ESS10e03_3,2122025,11738,IT,4,3,0,7,,0.0,5,2
ESS10e03_3,2122025,11739,IT,,7,,7,,10.0,5,8
ESS10e03_3,2122025,11748,IT,7,7,5,7,3,7.5,5,5
ESS10e03_3,2122025,11751,IT,5,5,1,7,5,2.5,3,1
ESS10e03_3,2122025,11752,IT,6,5,7,7,,7.5,6,8
ESS10e03_3,2122025,11754,IT,4,7,1,7,5,2.5,2,4
ESS10e03_3,2122025,11757,IT,6,6,4,9,1,10.0,10,9
ESS10e03_3,2122025,11761,IT,2,7,2,9,8,2.5,3,5
ESS10e03_3,2122025,11776,IT,6,8,4,5,2,5.0,4,7
ESS10e03_3,2122025,11783,IT,7,7,4,8,6,10.0,4,8
ESS10e03_3,2122025,11786,IT,4,8,7,8,4,7.5,6,5
ESS10e03_3,2122025,11787,IT,5,6,4,6,6,5.0,5,5
ESS10e03_3,2122025,11805,IT,7,8,5,8,5,5.0,5,7
ESS10e03_3,2122025,11813,IT,4,3,2,7,5,7.5,7,4
ESS10e03_3,2122025,11818,IT,7,7,4,5,,5.0,5,5
ESS10e03_3,2122025,11825,IT,8,8,6,8,4,10.0,5,7
ESS10e03_3,2122025,11834,IT,8,7,5,8,5,7.5,6,8
ESS10e03_3,2122025,11838,IT,5,6,4,8,5,7.5,8,7
ESS10e03_3,2122025,11844,IT,6,8,6,8,6,7.5,5,7
ESS10e03_3,2122025,11851,IT,0,1,0,5,,2.5,5,1
ESS10e03_3,2122025,11852,IT,6,9,2,10,2,10.0,10,9
ESS10e03_3,2122025,11854,IT,,9,1,10,5,5.0,4,7
ESS10e03_3,2122025,11860,IT,9,9,8,8,7,5.0,5,8
ESS10e03_3,2122025,11868,IT,5,6,2,6,,10.0,8,5
ESS10e03_3,2122025,11873,IT,6,7,4,8,6,5.0,6,6
ESS10e03_3,2122025,11874,IT,5,7,1,8,4,7.5,3,6
ESS10e03_3,2122025,11884,IT,8,9,3,8,5,7.5,6,7
ESS10e03_3,2122025,11885,IT,6,6,6,6,6,5.0,6,6
ESS10e03_3,2122025,11886,IT,5,8,1,8,8,7.5,5,4
ESS10e03_3,2122025,11888,IT,6,5,5,8,5,5.0,7,6
ESS10e03_3,2122025,11895,IT,3,1,2,7,6,7.5,5,6
ESS10e03_3,2122025,11900,IT,5,6,5,7,6,7.5,5,3
ESS10e03_3,2122025,11916,IT,8,8,5,9,5,5.0,5,8
ESS10e03_3,2122025,11922,IT,7,7,5,8,3,10.0,6,8
ESS10e03_3,2122025,11924,IT,7,7,2,9,5,7.5,2,5
ESS10e03_3,2122025,11934,IT,7,8,4,9,,7.5,4,5
ESS10e03_3,2122025,11952,IT,6,7,1,7,,10.0,3,6
