country,Source id,target id,Type,id,r,sign,Source label,Target label
italy,n0,n2,Undirected,179,0.429321766,positive,trstlgl,trstplt
italy,n0,n3,Undirected,180,0.145372897,positive,trstlgl,trstsci
italy,n0,n5,Undirected,181,0.059722278,positive,trstlgl,gincdif
italy,n0,n6,Undirected,182,0.178429738,negative,trstlgl,lrscale
italy,n0,n7,Undirected,183,0.055620655,positive,trstlgl,imwbcnt
italy,n1,n2,Undirected,184,0.055312209,positive,trstplc,trstplt
italy,n1,n3,Undirected,185,0.319839567,positive,trstplc,trstsci
italy,n1,n4,Undirected,186,0.085717537,positive,trstplc,ccrdprs
italy,n1,n6,Undirected,187,0.135862261,positive,trstplc,lrscale
italy,n1,n7,Undirected,188,0.035291731,negative,trstplc,imwbcnt
italy,n1,n8,Undirected,189,0.131450802,positive,trstplc,rlgdgr
italy,n2,n4,Undirected,190,0.049315043,positive,trstplt,ccrdprs
italy,n2,n5,Undirected,191,0.045022916,negative,trstplt,gincdif
italy,n2,n6,Undirected,192,0.064948171,positive,trstplt,lrscale
italy,n2,n7,Undirected,193,0.186963513,positive,trstplt,imwbcnt
italy,n3,n4,Undirected,194,0.068403788,positive,trstsci,ccrdprs
italy,n3,n5,Undirected,195,0.073027536,positive,trstsci,gincdif
italy,n3,n7,Undirected,196,0.068250634,positive,trstsci,imwbcnt
italy,n4,n5,Undirected,197,0.204543844,positive,ccrdprs,gincdif
italy,n4,n6,Undirected,198,0.027143698,negative,ccrdprs,lrscale
italy,n4,n7,Undirected,199,0.106930412,positive,ccrdprs,imwbcnt
italy,n4,n8,Undirected,200,0.020813597,positive,ccrdprs,rlgdgr
italy,n5,n6,Undirected,201,0.099753432,negative,gincdif,lrscale
italy,n5,n7,Undirected,202,0.018154686,positive,gincdif,imwbcnt
italy,n5,n8,Undirected,203,0.019350577,positive,gincdif,rlgdgr
italy,n6,n7,Undirected,204,0.15501821,negative,lrscale,imwbcnt
italy,n6,n8,Undirected,205,0.102190152,positive,lrscale,rlgdgr
italy,n7,n8,Undirected,206,0.010882918,negative,imwbcnt,rlgdgr
